lat,lon,neutron_count
-89,-115,151.73177
-89,-114,151.0188
-89,-113,145.21251
-89,-112,149.65175
-89,-111,149.03935
-89,-110,152.48747
-89,-109,150.41093
-89,-108,153.93193
-89,-107,152.15349
-89,-106,148.3077
-89,-105,148.01233
-89,-104,153.2151
-89,-103,153.57951
-89,-102,151.95695
-89,-101,147.8803
-89,-100,151.08757
-89,-99,148.07083
-89,-98,153.24593
-89,-97,149.02211
-89,-96,150.98486
-89,-95,150.90201
-89,-94,150.73901
-89,-93,151.7999
-89,-92,151.89262
-89,-91,149.46494
-89,-90,146.56543
-89,-89,150.10411
-89,-88,151.03094
-89,-87,154.40396
-89,-86,155.62985
-89,-85,151.64417
-89,-84,148.78015
-89,-83,151.18727
-89,-82,154.576
-89,-81,149.78389
-89,-80,151.89432
-89,-79,151.91705
-89,-78,146.57796
-89,-77,148.19026
-89,-76,151.32802
-89,-75,151.21002
-89,-74,153.51286
-89,-73,151.74005
-89,-72,150.61852
-89,-71,150.30699
-89,-70,150.65372
-89,-69,152.78783
-89,-68,151.52621
-89,-67,147.88599
-89,-66,148.66571
-89,-65,152.39418
-89,-64,148.95302
-89,-63,150.36711
-89,-62,149.72485
-89,-61,152.22589
-89,-60,149.26285
-89,-59,156.14894
-89,-58,151.4155
-89,-57,150.14745
-89,-56,150.69952
-89,-55,147.18663
-89,-54,149.98071
-89,-53,152.1344
-89,-52,156.36613
-89,-51,151.74527
-89,-50,147.95476
-89,-49,153.65479
-89,-48,153.59195
-89,-47,152.15306
-89,-46,152.38043
-89,-45,156.77135
-89,-44,153.24898
-89,-43,153.27191
-89,-42,149.55508
-89,-41,150.79153
-89,-40,150.72934
-89,-39,152.6157
-89,-38,149.77547
-89,-37,150.13313
-89,-36,149.92899
-89,-35,150.5326
-89,-34,154.55641
-89,-33,154.15862
-89,-32,152.54466
-89,-31,153.38399
-89,-30,151.12013
-89,-29,156.3779
-89,-28,155.54047
-89,-27,156.12088
-89,-26,146.87982
-89,-25,150.21196
-89,-24,153.35197
-89,-23,148.56235
-89,-22,149.87723
-89,-21,153.65915
-89,-20,147.50185
-89,-19,151.06152
-89,-18,149.84148
-89,-17,149.40407
-89,-16,147.49144
-89,-15,155.00018
-89,-14,151.01653
-89,-13,151.73442
-89,-12,148.06506
-89,-11,148.09062
-89,-10,141.8449
-89,-9,147.97945
-89,-8,154.69682
-89,-7,157.13211
-89,-6,150.95312
-89,-5,147.51585
-89,-4,156.66518
-89,-3,149.58879
-89,-2,156.32121
-89,-1,150.37202
-89,0,144.7017
-89,1,154.13666
-89,2,155.20512
-89,3,154.03224
-89,4,157.75507
-89,5,150.2825
-89,6,145.66661
-89,7,150.29251
-89,8,149.01231
-89,9,149.25945
-89,10,146.41498
-89,11,148.29816
-89,12,154.36896
-89,13,155.4132
-89,14,153.0401
-89,15,150.46646
-89,16,158.83363
-89,17,152.85153
-89,18,149.54762
-89,19,146.7071
-89,20,152.37112
-89,21,147.48065
-89,22,149.15567
-89,23,145.05205
-89,24,149.50528
-89,25,153.88159
-89,26,149.20673
-89,27,150.60843
-89,28,149.73502
-89,29,149.6402
-89,30,151.3358
-89,31,152.19304
-89,32,149.88257
-89,33,146.57358
-89,34,155.28168
-89,35,148.0039
-89,36,152.66223
-89,37,148.7767
-89,38,150.01779
-89,39,149.69469
-89,40,152.55728
-89,41,148.05104
-89,42,153.40009
-89,43,144.51251
-89,44,153.73555
-89,45,151.02586
-89,46,149.98369
-89,47,147.86108
-89,48,148.96175
-89,49,151.8511
-89,50,148.25845
-89,51,153.88438
