lat,lon,day_max,night_min
-89,-36,200.5871,37.1443
-89,-35,198.7823,37.2477
-89,-34,194.4018,37.7695
-89,-33,197.1148,37.8429
-89,-32,182.2273,36.8277
-89,-31,176.1541,35.584
-89,-30,173.4531,34.1033
-89,-29,166.6958,33.4811
-89,-28,169.6434,31.7075
-89,-27,177.1467,33.199
-89,-26,175.6928,32.8816
-89,-25,173.0951,34.4319
-89,-24,195.5573,34.7846
-89,-23,214.2565,34.262
-89,-22,223.438,33.4505
-89,-21,223.5837,33.2686
-89,-20,190.456,34.1516
-89,-19,172.8434,34.0012
-89,-18,173.8859,33.807
-89,-17,172.8393,34.4468
-89,-16,170.7389,34.7455
-89,-15,185.3746,34.9373
-89,-14,198.5246,35.3875
-89,-13,205.344,37.3381
-89,-12,210.5006,37.5392
-89,-11,224.3026,35.6399
-89,-10,232.9083,35.844
-89,-9,229.4537,35.7292
-89,-8,229.9803,37.9937
-89,-7,229.4719,38.9637
-89,-6,225.6526,38.7711
-89,-5,238.2064,40.0674
-89,-4,246.9883,41.7038
-89,-3,242.6802,40.2404
-89,-2,229.2058,40.7468
-89,-1,225.1499,41.692
-89,0,231.0181,43.7932
-89,1,236.8034,45.1343
-89,2,248.6577,44.8772
-89,3,241.4541,42.3064
-89,4,232.4635,41.9562
-89,5,215.4786,41.65
-89,6,200.8964,41.2867
-89,7,194.7741,39.6719
-89,8,191.0259,38.884
-89,9,179.5477,37.0848
-89,10,165.2231,36.991
-89,11,163.3293,35.7779
-89,12,167.7048,36.4932
-89,13,182.3322,37.4252
-89,14,190.105,37.078
-89,15,182.2778,37.1033
-89,16,175.2596,36.3551
-89,17,184.3009,36.1521
-89,18,191.0757,36.8202
-89,19,191.1697,35.9514
-89,20,212.6112,35.8359
-89,21,222.1889,36.6655
-89,22,233.9112,37.1091
-89,23,237.3217,36.1614
-89,24,230.0856,35.8931
-89,25,226.2682,35.6775
-89,26,211.0067,37.6316
-89,27,205.8172,41.3014
-89,28,207.0479,41.9777
-89,29,208.4383,47.1047
-89,30,212.4742,47.8251
-89,31,211.0889,46.4609
-89,32,204.0289,46.1132
-89,33,206.1456,45.7993
-89,34,205.5043,43.2993
-89,35,210.7267,43.3393
-89,36,212.7717,42.6654
-89,37,216.8233,43.5295
-89,38,213.6313,41.6929
-89,39,201.3472,42.9912
-89,40,197.7706,42.6042
-89,41,198.502,40.8861
-89,42,198.2396,40.0989
-89,43,204.8428,39.0179
-89,44,209.0181,40.847
-89,45,208.3055,41.3939
-89,46,202.7272,40.8037
-89,47,193.4684,39.7411
-89,48,203.4243,40.3931
-89,49,202.1715,40.2597
-89,50,198.2448,39.7776
-89,51,197.1898,40.0034
-89,52,214.0047,38.6986
-89,53,210.9014,38.5036
-89,54,206.7477,36.4931
-89,55,225.2914,39.2813
-89,56,239.5199,37.4477
-89,57,237.5534,36.4541
-89,58,223.0477,35.867
-89,59,223.3229,36.2564
-89,60,228.5197,36.7809
-89,61,240.9345,38.035
-89,62,247.4497,39.9061
-89,63,260.9679,39.9101
-89,64,265.6404,39.7111
-89,65,267.5213,40.0066
-89,66,266.6796,42.4386
-89,67,267.3172,42.0899
-89,68,265.9094,42.073
-89,69,252.9224,40.8789
-89,70,240.4308,40.2874
-89,71,231.2049,38.4205
-89,72,230.96,38.2909
-89,73,218.7928,41.3569
-89,74,225.7018,40.7837
-89,75,228.6976,40.2908
-89,76,232.7693,39.2612
-89,77,234.6377,39.7629
-89,78,234.8985,40.7141
-89,79,239.5774,39.1256
-89,80,246.3321,37.4398
-89,81,249.3743,37.5865
-89,82,247.6918,38.1748
-89,83,243.9008,40.1196
-89,84,240.7923,40.3362
-89,85,238.5302,40.4095
-89,86,243.1531,41.563
-89,87,244.5068,41.4695
-89,88,246.5934,44.3133
-89,89,248.5066,46.0386
-89,90,245.9108,46.0388
-89,91,244.481,45.0744
-89,92,245.3938,45.7582
-89,93,249.5748,45.7283
-89,94,246.673,45.4258
-89,95,239.125,45.4485
-89,96,245.8151,45.1688
-89,97,247.2887,43.0705
-89,98,242.0483,43.0865
-89,99,242.2725,44.7334
-89,100,239.0709,44.341
-89,101,238.4029,44.8786
-89,102,242.6672,47.3802
-89,103,246.1571,48.782
-89,104,234.7331,47.8403
-89,105,235.19,48.8422
-89,106,238.24,48.9326
-89,107,234.4694,50.8527
-89,108,227.3114,51.2091
-89,109,227.1159,50.5465
-89,110,233.2622,51.2107
-89,111,249.6738,50.5026
-89,112,250.5452,49.7283
-89,113,241.9205,50.9991
-89,114,258.4299,52.3988
-89,115,258.9647,53.9061
-89,116,259.3538,54.317
-89,117,255.8676,57.3371
-89,118,248.7601,58.5652
-89,119,253.4483,61.8559
-89,120,254.9489,61.6836
-89,121,259.4753,62.0769
-89,122,260.7901,60.3386
-89,123,253.1445,55.5012
-89,124,236.9439,54.9047
-89,125,240.8336,53.4448
